product_id,spec_name,spec_value
P000019,tiến_trình_sản_xuất,TSMC N3B
P000020,kích_thước,ATX
P000020,hãng_sản_xuất,ASRock
P000020,chipset,Intel
P000020,socket,LGA 1851
P000020,khe_ram_tối_đa,4
P000020,kiểu_ram_hỗ_trợ,DDR5
P000020,dung_lượng_ram_tối_đa,256GB
P000020,số_cổng_usb,"CPU: 2 x Thunderbolt 4 Type-C (Phía sau) Chipset: 1 x USB 3.2 Gen2x2 Type-C (Phía trước) 2 x USB 3.2 Gen2 Type-A (Phía sau) 8 x USB 3.2 Gen1 (4 phía sau, 4 phía trước) 6 x USB 2.0 (2 phía sau, 4 phía trước)"
P000020,lan,2.5 Gigabit LAN 10/100/1000/2500 Mb/giâyHỗ trợ phần mềm Dragon 2.5G LAN
P000020,âm_thanh,Âm thanh HD 7.1 kênh (Realtek ALC897 Codec)Hỗ trợ Nahimic Audio
P000021,loại_case,Mid Tower
P000021,hỗ_trợ_quạt,Trên: 2 x 12cmBo mạch chủ: 2 x 12cmĐáy: 2 x 12cmPhía sau: 1 x 12cm
P000021,số_khe_cắm_pci,4 khe
P000021,kích_thước,339 x 270 x 375 mm
P000021,hãng_sản_xuất,Jetek
P000021,chất_liệu_2,Thép + Kính cường lực
P000021,cổng_giao_tiếp,1 x USB 3.01 x USB 1.01 x 3.5mm Mic Jack1 x 3.5mm Audio Jack1 x Nút Reset
P000022,hãng_sản_xuất,MSI
P000022,chipset,NVIDIA
P000022,dung_lượng,8GB
P000022,kiểu_bộ_nhớ,GDDR6
P000022,giao_diện_bộ_nhớ,128-bit
P000022,loại_gpu,NVIDIA GeForce RTX 5050
P000022,gpu_clock,Boost: 2602 MHzExtreme Performance: 2617 MHz
P000022,giao_tiếp_pci,PCI Express® Gen 5 x16
P000022,số_lượng_đơn_vị_xử_lí,2560 CUDA
P000022,tản_nhiệt,2 quạt
P000022,đầu_cấp_nguồn,8-pin x 1
P000022,nguồn_đề_xuất,550W
P000023,kích_thước,M-ATX
P000023,hãng_sản_xuất,MSI
P000023,chipset,Intel
P000023,socket,LGA 1700
P000023,khe_ram_tối_đa,2
P000023,kiểu_ram_hỗ_trợ,DDR4
P000023,dung_lượng_ram_tối_đa,64GB
P000023,lan,Realtek ® RTL8111H Gigabit LAN
P000023,âm_thanh,Realtek ® ALC897 CodecÂm thanh độ phân giải cao 7.1 kênh
P000024,hãng_sản_xuất,G.SKILL
P000024,dung_lượng,16GB
P000024,loại_ram,DDR5
P000024,bus_ram,6000MHz
P000024,hỗ_trợ,"DIMM (PC, Desktop)"
P000024,độ_trễ,36-36-36-96
P000024,điện_áp,1.10V
P000024,đèn_led,Hỗ trợ LED
P000024,nhiệt_độ_hoạt_động,0°C tới +85°C
P000025,hãng_sản_xuất,Transcend
P000025,dung_lượng,16GB
P000025,loại_ram,DDR5
P000025,bus_ram,4800MHz
P000025,hỗ_trợ,"DIMM (PC, Desktop)"
P000025,độ_trễ,CL40
P000025,điện_áp,1.1V
P000025,đèn_led,Không hỗ trợ LED
P000025,nhiệt_độ_hoạt_động,0 ~ 85°C
P000026,hãng_sản_xuất,Corsair
P000026,dung_lượng,16GB
P000026,loại_ram,DDR5
P000026,bus_ram,6000MHz
P000026,hỗ_trợ,"DIMM (PC, Desktop)"
P000026,độ_trễ,36-44-44-96
P000026,điện_áp,1.1 - 1.35V
P000026,đèn_led,Hỗ trợ LED
P000027,hãng_sản_xuất,Kingston
P000027,kết_nối,USB 3.2 Gen 2x2
P000027,loại_ổ_cứng,SSD
P000027,tốc_độ_đọc,2000 MB/s
P000027,hỗ_trợ_hệ_điều_hành,"Windows 11, 10, 8.1 macOS (v.10.14.x +) Linux (v. 2.6.x +) Chrome OS"
P000027,dung_lượng_ổ_cứng,4TB
P000027,chất_liệu,Kim loại + nhựa
P000027,tính_năng_khác,Chống nước IP55Công nghệ NAND FlashChống rơi vỡ ở độ cao lên tới 1.8 mét
P000027,tốc_độ_ghi,2000 MB/s
P000028,hãng_sản_xuất,ADATA
P000028,loại_ổ_cứng,SSD
P000028,kết_nối_2,M2 PCIe
P000028,dung_lượng,1TB
P000028,tốc_độ_đọc,6.000 MB/s
P000029,hãng_sản_xuất,ADATA
P000029,dung_lượng,16GB
P000029,loại_ram,DDR4
P000029,bus_ram,6000MHz
P000029,hỗ_trợ,"DIMM (PC, Desktop)"
P000029,độ_trễ,30-40
P000029,điện_áp,1.25V - 1.4V
P000029,đèn_led,Hỗ trợ LED
P000030,hãng_sản_xuất,Sandisk
P000030,kết_nối,USB 3.2
P000030,loại_ổ_cứng,SSD
P000030,tốc_độ_đọc,2000 MB/s
P000030,hỗ_trợ_hệ_điều_hành,Windows 10/11 MacOS Linux iOS/iPadOS Android
P000030,dung_lượng_ổ_cứng,1TB
P000030,tính_năng_khác,Chống nước IP65 Bảo mật AES 256-bit Encryption
P000030,tốc_độ_ghi,2000 MB/s
P000031,hãng_sản_xuất,Patriot
P000031,loại_ổ_cứng,SSD
P000031,kết_nối_2,M2 PCIe
P000031,dung_lượng,1TB
P000031,tốc_độ_đọc,3500 MB/s
P000031,hỗ_trợ_hệ_điều_hành,Windows 7*/8*/8.1/10 (*có thể yêu cầu driver)
P000032,hãng_sản_xuất,Intel
P000032,chipset,Intel
P000032,socket,LGA 1700
P000032,dòng_sản_phẩm,Core i5
P000032,thế_hệ_cpu,Intel thế hệ 13
P000032,số_nhân,10
P000032,số_luồng,16
P000032,tốc_độ_xử_lý,2.5 - 4.6 GHz
P000032,cache,L1: 20 MBL2: 9.5 MB
P000032,phiên_bản_pci_express,4.0 và 5.0
P000032,điện_năng_tiêu_thụ,65W (Tối đa 148W)
P000032,công_nghệ_hỗ_trợ,Intel Thread DirectorIntel Turbo Boost 2.0Intel SpeedStep nâng caoCông nghệ theo dõi nhiệtCông Nghệ Intel Speed Shift
P000033,hãng_sản_xuất,LEXAR
P000033,kết_nối,USB 3.2 Gen2x2
P000033,loại_ổ_cứng,SSD
P000033,tốc_độ_đọc,2000MB/s
P000033,hỗ_trợ_hệ_điều_hành,Mac OSX 10.6+ Windows 11/10/7/8 Android 4.4+
P000033,dung_lượng_ổ_cứng,1TB
P000033,chất_liệu,Vỏ nhôm
P000033,tính_năng_khác,Mã hóa AES 256-bit
P000033,tốc_độ_ghi,2000MB/s
P000034,hãng_sản_xuất,Intel
P000034,chipset,Intel
P000034,socket,FCLGA1700
P000034,dòng_sản_phẩm,Core i3
P000034,thế_hệ_cpu,Intel thế hệ 13
P000034,số_nhân,4
P000034,số_luồng,8
P000034,tốc_độ_xử_lý,3.5 GHz - 4.7 GHz
P000034,cache,L1: 12 MBL2: 5 MB
P000034,phiên_bản_pci_express,4.05.0
P000034,chip_đồ_họa,Intel® UHD Graphics 730
P000034,điện_năng_tiêu_thụ,60 W (Tối đa 110 W)
P000034,công_nghệ_hỗ_trợ,Intel® 64Công nghệ theo dõi nhiệtCông Nghệ Intel® Speed ShiftCông nghệ Intel® Turbo Boost 2.0Công nghệ siêu Phân luồng IntelCông nghệ Intel SpeedStep® nâng caoIntel® Gaussian & Neural Accelerator 3.0
P000035,hãng_sản_xuất,Sandisk
P000035,kết_nối,USB 3.2 Gen 2
P000035,loại_ổ_cứng,SSD
P000035,tốc_độ_đọc,800 MB/s
P000035,hỗ_trợ_hệ_điều_hành,Windows® 10+macOS 10.13+
P000035,dung_lượng_ổ_cứng,1TB
P000035,tính_năng_khác,Bảo mật AES 256-bit Encryption
P000036,hãng_sản_xuất,Corsair
P000036,loại_tản_nhiệt,Tản nhiệt nước
P000036,số_vòng_quay_của_quạt,400 - 2400 RPM
P000036,độ_ồn_(dba),16 - 37 dBA
P000036,chất_liệu_2,Vật liệu tản nhiệt: Đồng
P000037,hãng_sản_xuất,Intel
P000037,chipset,Intel
P000037,socket,LGA 1700
P000037,dòng_sản_phẩm,Core i5
P000037,thế_hệ_cpu,Intel thế hệ 14
P000037,số_nhân,14
P000037,số_luồng,20
P000037,tốc_độ_xử_lý,2.6 - 5.0 GHz
P000037,cache,L1: 24 MBL2: 11.5 MB
P000037,phiên_bản_pci_express,4.05.0
P000037,chip_đồ_họa,Intel® UHD Graphics 770
P000037,điện_năng_tiêu_thụ,65 W (tối đa 154 W)
P000037,công_nghệ_hỗ_trợ,Công nghệ Intel® Turbo Boost 2.0Intel® Thread DirectorCông Nghệ Intel® Speed ShiftTăng cường học sâu Intel® Deep Learning BoostIntel® 64Công nghệ Intel SpeedStep® nâng cao
P000038,hãng_sản_xuất,Orico
P000038,kết_nối,USB 3.1 Type-C
P000038,chất_liệu_2,"Hợp kim nhôm + nhựa, siêu nhỏ gọn"
P000039,hãng_sản_xuất,Transcend
P000039,kết_nối,USB Type C
P000039,loại_ổ_cứng,HDD
P000039,hỗ_trợ_hệ_điều_hành,Microsoft Windows 7 trở lên MacOS 10.10 trở lên iOS/iPadOS
P000039,dung_lượng_ổ_cứng,2TB
P000039,chất_liệu,Phun cát và anot hóa
P000039,tính_năng_khác,Khả năng chịu được 10.000 lần cắm-rútTốc độ truyền dữ liệu cực nhanh lên đến 5Gbps Chức năng khóa ổ đĩa và bảo mật độc quyền với phần mềm Transcend Elite
P000040,hãng_sản_xuất,Western Digital
P000040,loại_ổ_cứng,HDD
P000040,kết_nối_2,SATA III
P000040,dung_lượng,4TB
P000040,tốc_độ_đọc,185 MB/s
P000040,hỗ_trợ_hệ_điều_hành,Windows® 11Windows 10Windows 8.1
P000040,tốc_độ_vòng_quay,5400RPM
P000040,bộ_nhớ_đệm,128MB
P000041,hãng_sản_xuất,Intel
P000041,chipset,Intel
P000041,socket,FCLGA1851
P000041,dòng_sản_phẩm,Core Ultra 7
P000041,thế_hệ_cpu,Intel thế hệ 14
P000041,số_nhân,20
P000041,số_luồng,20
P000041,tốc_độ_xử_lý,3.3 GHz - 5.5 GHz
P000041,cache,L1: 30 MBL2: 36 MB
P000041,phiên_bản_pci_express,5.0 và 4.0
P000041,chip_đồ_họa,Intel Graphics
P000041,điện_năng_tiêu_thụ,125 W (Tối đa 250 W)
P000041,công_nghệ_hỗ_trợ,Công nghệ Intel GNA 3.5Công nghệ Intel® Thread DirectorCông Nghệ Intel® Turbo Boost Max 3.0Công nghệ Intel® Turbo Boost 2.0Công nghệ Intel® AI Boost
P000041,chip_ai,Intel AI Boost (13 TOPS)
P000041,tiến_trình_sản_xuất,TSMC N3B
P000042,hãng_sản_xuất,MSI
P000042,chipset,NVIDIA
P000042,dung_lượng,12GB
P000042,kiểu_bộ_nhớ,GDDR6
P000042,giao_diện_bộ_nhớ,192-bit
P000042,loại_gpu,NVIDIA GeForce RTX 3060
P000042,gpu_clock,1807 MHz
P000042,giao_tiếp_pci,PCI Express 4.0
P000042,số_lượng_đơn_vị_xử_lí,3584 CUDA
P000042,tản_nhiệt,2 quạt
P000042,đầu_cấp_nguồn,8-pin x 1
P000042,nguồn_đề_xuất,550W
P000043,hãng_sản_xuất,MSI
P000043,loại_tản_nhiệt,Tản nhiệt nước
P000043,độ_ồn_(dba),20 dBA
P000043,tuổi_thọ_quạt,40.000 giờ
P000044,hãng_sản_xuất,AMD
P000044,chipset,AMD
P000044,socket,AM5
P000044,dòng_sản_phẩm,Ryzen 9
P000044,thế_hệ_cpu,AMD Ryzen thế hệ thứ 9
P000044,số_nhân,16
P000044,số_luồng,32
P000044,tốc_độ_xử_lý,4.3 GHz - 5.7 GHz
P000044,cache,L1: 1280 KB L2: 16 MB L3: 64 MB
P000044,phiên_bản_pci_express,5.0
P000044,chip_đồ_họa,AMD Radeon Graphics
P000044,điện_năng_tiêu_thụ,170 W
P000044,công_nghệ_hỗ_trợ,Công nghệ AMD EXPO™ TechnologyCông nghệ AMD Ryzen™ Technologies
P000044,tiến_trình_sản_xuất,TSMC 4nm FinFET
P000045,hãng_sản_xuất,Sandisk
P000045,kết_nối,USB-C (USB 3.2 Gen2)
P000045,loại_ổ_cứng,SSD
P000045,tốc_độ_đọc,1050 MB/s
P000045,hỗ_trợ_hệ_điều_hành,Windows 10/11MacOS Linux iOS/iPadOSAndroid
P000045,dung_lượng_ổ_cứng,2TB
P000045,tính_năng_khác,Chống nước IP65 Bảo mật AES 256-bit Encryption
P000045,tốc_độ_ghi,1000 MB/s
P000046,kích_thước,micro-ATX
P000046,hãng_sản_xuất,ASRock
P000046,chipset,AMD
P000046,socket,AM5
P000046,khe_ram_tối_đa,4
P000046,kiểu_ram_hỗ_trợ,DDR5
P000046,dung_lượng_ram_tối_đa,256GB
P000046,số_cổng_usb,"1 x USB 3.2 Gen2 Type-C (sau) 1 x USB 3.2 Gen2 Type-A (sau) 1 x USB 3.2 Gen1 Type-C (trước) 6 x USB 3.2 Gen1 Type-A (2 sau, 4 trước) 8 x USB 2.0 (4 sau, 4 trước)"
P000046,lan,2.5 Gigabit LAN 10/100/1000/2500 Mb/s Dragon RTL8125BG Hỗ trợ phần mềm Dragon 2.5G LAN802.11ax Wi-Fi 6E ModuleHỗ trợ Bluetooth 5.2 + High speed class II
P000046,âm_thanh,7.1 CH HD Audio (Realtek ALC897 Audio Codec)Nahimic Audio
P000047,hãng_sản_xuất,Sandisk
P000047,kết_nối,USB-C (USB 3.2 Gen2)
P000047,loại_ổ_cứng,SSD
P000047,tốc_độ_đọc,1050 MB/s
P000047,hỗ_trợ_hệ_điều_hành,Windows 10/11MacOS Linux iOS/iPadOSAndroid
P000047,dung_lượng_ổ_cứng,1TB
P000047,tính_năng_khác,Chống nước IP65 Bảo mật AES 256-bit Encryption
P000047,tốc_độ_ghi,1000 MB/s
P000048,hãng_sản_xuất,Kingston
P000048,dung_lượng,8GB
P000048,loại_ram,DDR4
P000048,bus_ram,3200MHz
P000048,hỗ_trợ,SO-DIMM (Laptop)
P000048,độ_trễ,CL22
P000048,điện_áp,1.2V
P000048,đèn_led,Không hỗ trợ LED
P000049,hãng_sản_xuất,ADATA
P000049,dung_lượng,16GB
P000049,loại_ram,DDR4
P000049,bus_ram,3200MHz
P000049,hỗ_trợ,"DIMM (PC, Desktop)"
P000049,điện_áp,1.35V - 1.5V
P000050,hãng_sản_xuất,Western Digital
P000050,loại_ổ_cứng,HDD
P000050,kết_nối_2,SATA III
P000050,dung_lượng,1TB
P000050,tốc_độ_đọc,185 MB/s
P000050,hỗ_trợ_hệ_điều_hành,Windows® 11Windows 10Windows 8.1
P000050,tốc_độ_vòng_quay,5400RPM
P000050,bộ_nhớ_đệm,128MB
P000051,hãng_sản_xuất,Kingston
P000051,dung_lượng,32GB
P000051,loại_ram,DDR4
P000051,bus_ram,3200MHz
P000051,hỗ_trợ,SO-DIMM (Laptop)
P000051,độ_trễ,CL22
P000051,điện_áp,1.2V
P000051,đèn_led,Không hỗ trợ LED
P000052,hãng_sản_xuất,G.SKILL
P000052,dung_lượng,32GB
P000052,loại_ram,DDR5
P000052,bus_ram,6000MHz
P000052,hỗ_trợ,"DIMM (PC, Desktop)"
P000052,độ_trễ,36-36-36-96
P000052,điện_áp,1.10V
P000052,đèn_led,Hỗ trợ LED
P000052,nhiệt_độ_hoạt_động,0°C tới +85°C
P000053,kích_thước,M-ATX
P000053,hãng_sản_xuất,Gigabyte
P000053,chipset,Intel
P000053,socket,LGA 1700
P000053,khe_ram_tối_đa,4
P000053,kiểu_ram_hỗ_trợ,DDR4
P000053,dung_lượng_ram_tối_đa,128GB
P000053,lan,Realtek® GbE LAN chip (1 Gbps/100 Mbps/10 Mbps)
P000053,âm_thanh,Realtek ® CODECÂm thanh độ nét caoKênh 2/4/5.1/7.1Cổng ra S/PDIF
P000054,hãng_sản_xuất,Kingston
P000054,loại_ổ_cứng,SSD
P000054,kết_nối_2,M2 PCIe
P000054,dung_lượng,1TB
P000054,tốc_độ_đọc,6000 MB/s
P000054,tính_năng_khác,Nhiệt độ bảo quản -40°C~85°CNhiệt độ hoạt động 0°C~70°CMức rung khi không vận hành 20 G (10-1000 Hz)Tuổi thọ trung bình 2.000.000 giờ
P000055,hãng_sản_xuất,MSI
P000055,chipset,NVIDIA
P000055,dung_lượng,6GB
P000055,kiểu_bộ_nhớ,GDDR6
P000055,giao_diện_bộ_nhớ,96-bit
P000055,loại_gpu,GeForce RTX 3050 VENTUS 2X 6G OC
P000055,gpu_clock,1492 MHz
P000055,giao_tiếp_pci,PCI Express 4.0 x16
P000055,số_lượng_đơn_vị_xử_lí,2304 CUDA
P000055,tản_nhiệt,2 quạt
P000055,nguồn_đề_xuất,300 W
P000056,hãng_sản_xuất,XIGMATEK
P000056,loại_tản_nhiệt,Tản nhiệt nước
P000056,số_vòng_quay_của_quạt,600 ~ 1800 RPM ± 10%
P000056,độ_ồn_(dba),29.8 dB(A)
P000057,hãng_sản_xuất,Transcend
P000057,kết_nối,USB-C
P000057,loại_ổ_cứng,SSD
P000057,tốc_độ_đọc,2000 MB/s
P000057,hỗ_trợ_hệ_điều_hành,Microsoft Windows macOS iOS/iPadOS Linux ChromeOS Android
P000057,dung_lượng_ổ_cứng,1TB
P000057,tính_năng_khác,Bộ nhớ flash 3D NANDQuản lý dữ liệu với Transcend EliteTiêu chuẩn mã hóa nâng cao (AES) 256 bitChống nước IPX5Chịu được độ rơi 3 mét
P000057,tốc_độ_ghi,2000 MB/s
P000058,loại_case,Mid Tower
P000058,hỗ_trợ_quạt,Trên: 2 x 12 cmTrước: 3 x 12 cmBên: 1 x 12cm
P000058,số_khe_cắm_pci,4 khe
P000058,kích_thước,365 x 200 x 426 mm
P000058,hãng_sản_xuất,Jetek
P000058,chất_liệu_2,Nhựa ABS + Thép + Kính cường lực
P000058,cổng_giao_tiếp,1 x USB 3.02 x USB 1.01 x 3.5mm Mic Jack1 x 3.5mm Audio Jack1 x Nút Reset
P000059,hãng_sản_xuất,Intel
P000059,chipset,Intel
P000059,socket,FCLGA1851
P000059,dòng_sản_phẩm,Core Ultra 5
P000059,thế_hệ_cpu,Intel thế hệ 14
P000059,số_nhân,10
P000059,số_luồng,10
P000059,tốc_độ_xử_lý,2.7 - 4.9 GHz
P000059,cache,L1: 20 MBL2: 22 MB
P000059,phiên_bản_pci_express,5.0 và 4.0
P000059,điện_năng_tiêu_thụ,65 WTối đa 121 W
P000059,công_nghệ_hỗ_trợ,Công nghệ Thực thi Luồng điều khiển IntelIntel Standard Manageability (ISM)Intel AES New InstructionsKhóa bảo mậtCông nghệ ảo hóa Intel (VT-x)
P000059,chip_ai,Intel AI Boost (13 TOPS)
P000059,tiến_trình_sản_xuất,TSMC N3B
P000060,hãng_sản_xuất,LEXAR
P000060,kết_nối,USB 3.2 Gen 2
P000060,loại_ổ_cứng,SSD
P000060,tốc_độ_đọc,1050MB/s
P000060,dung_lượng_ổ_cứng,1TB
P000060,tính_năng_khác,Chống rơi 2 mét
P000060,tốc_độ_ghi,1000MB/s
P000061,hãng_sản_xuất,Transcend
P000061,kết_nối,USB Type-A / USB Type-C
P000061,loại_ổ_cứng,SSD
P000061,tốc_độ_đọc,1050 MB/s
P000061,hỗ_trợ_hệ_điều_hành,Microsoft Windows macOS iOS/iPadOS Linux ChromeOS Android
P000061,dung_lượng_ổ_cứng,128GB
P000061,chất_liệu,Vỏ nhôm
P000061,tính_năng_khác,Bộ nhớ flash 3D NANDHỗ trợ chức năng mật khẩu một lầnTiêu chuẩn mã hóa nâng cao (AES) 256 bit
P000061,tốc_độ_ghi,950 MB/s
P000062,hãng_sản_xuất,Corsair
P000062,loại_tản_nhiệt,Tản nhiệt nước
P000062,chất_liệu_2,Vật liệu làm lạnh: ĐồngVật liệu tản nhiệt: Nhôm
P000063,hãng_sản_xuất,Western Digital
P000063,loại_ổ_cứng,SSD
P000063,kết_nối_2,M2 PCIe
P000063,dung_lượng,1TB
P000063,tốc_độ_đọc,5150 MB/s
P000063,cổng_giao_tiếp,PCIe Gen4 x4
P000064,hãng_sản_xuất,ADATA
P000064,kết_nối,1 x USB 3.2 Gen 1
P000064,loại_ổ_cứng,HDD
P000064,hỗ_trợ_hệ_điều_hành,Windows Vista/7/8/8.1/10/11Mac OS X 10.6 hoặc mới hơnLinux 2.6 hoặc mới hơn
P000064,dung_lượng_ổ_cứng,2TB
P000064,chất_liệu,Nhựa
P000064,tính_năng_khác,"Nhiệt độ hoạt động: 5°C - 50°CĐiện áp hoạt động: DC 5V, 900mATương thích ngược với USB 2.0"
